time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719147600,102568,22.582,24.617
1717736400,102568,1.018,1.62
1717786800,102568,1.17,1.625
1717740000,102568,1.055,1.486
1717776000,102568,0.607,0.998
1717779600,102568,0.985,1.506
1718956800,102568,40.989,44.507
1718978400,102568,33.132,36.454
1718949600,102568,42.887,45.934
1718953200,102568,40.639,43.95
1718755200,102568,21.654,23.737
1718838000,102568,28.178,29.897
1717844400,102568,8.713,10.357
1717884000,102568,3.08,3.873
1717837200,102568,7.473,8.934
1717873200,102568,4.11,5.095
1717869600,102568,3.776,4.812
1718391600,102568,19.443,22.459
1718380800,102568,17.801,21.331
1718348400,102568,9.866,11.343
1717689600,102568,3.521,4.409
1717668000,102568,15.053,17.055
1717686000,102568,2.563,3.148
1717711200,102568,0.71,1.131
1718103600,102568,7.451,8.91
1718074800,102568,1.582,2.152
1718139600,102568,7.159,8.355
1718100000,102568,5.995,6.992
1718128800,102568,5.915,6.881
1718434800,102568,5.883,6.956
1718463600,102568,0.711,1.038
1718442000,102568,4.934,5.825
1718485200,102568,1.031,1.574
1718190000,102568,14.101,15.953
1718164800,102568,11.375,13.123
1718161200,102568,11.119,12.764
1718856000,102568,21.374,23.507
1718874000,102568,23.51,25.909
1718870400,102568,22.938,25.053
1718902800,102568,29.532,31.829
1718866800,102568,22.85,24.95
1718910000,102568,34.263,35.597
1718539200,102568,6.987,7.939
1718503200,102568,5.309,6.166
1718521200,102568,6.604,7.541
1718514000,102568,6.406,7.217
1718550000,102568,4.52,5.368
1718557200,102568,10.329,11.803
1719028800,102568,35.648,38.6
1719097200,102568,26.574,28.748
1719093600,102568,26.89,29.14
1717909200,102568,5.357,6.479
1717966800,102568,2.099,2.825
1717934400,102568,10.87,12.633
1718715600,102568,23.282,25.037
1718740800,102568,18.029,19.846
1718744400,102568,18.188,19.97
1718586000,102568,20.233,22.497
1718647200,102568,27.764,30.875
1718643600,102568,31.38,34.183
1718640000,102568,33.001,36.913
1718593200,102568,20.691,22.835
1718636400,102568,31.751,35.157
1718582400,102568,18.81,20.867
1718294400,102568,7.765,8.822
1718254800,102568,9.979,11.165
1718053200,102568,2.189,2.7
1718017200,102568,4.793,6.242
1718020800,102568,4.473,5.817
1718038800,102568,1.742,2.455
1717995600,102568,4.633,5.761
1717981200,102568,1.55,2.082
1719190800,102568,0.676,0.933
1719158400,102568,14.306,15.822
1719183600,102568,3.689,4.331
1719194400,102568,0.976,1.28
1717722000,102568,0.535,0.81
1717729200,102568,0.89,1.351
1717801200,102568,0.932,1.163
1717725600,102568,0.631,0.988
1717743600,102568,1.33,1.634
1717772400,102568,0.416,0.724
1719007200,102568,32.951,35.754
1718935200,102568,35.596,38.475
1718982000,102568,29.552,32.575
1719000000,102568,33.264,36.684
1718827200,102568,34.857,37.588
1718784000,102568,29.673,32.802
1718762400,102568,24.489,27.199
1718812800,102568,34.133,36.283
1718373600,102568,14.671,17.019
1718352000,102568,10.386,11.998
1718344800,102568,9.15,10.427
1718366400,102568,14.392,17.041
1718359200,102568,12.649,15.079
1718337600,102568,7.433,8.672
1717714800,102568,0.407,0.635
1717653600,102568,15.779,18.166
1717693200,102568,3.444,4.447
1718125200,102568,5.841,6.707
1718143200,102568,6.462,7.354
1718064000,102568,1.11,1.607
1718118000,102568,8.915,10.129
1718452800,102568,2.755,3.463
1718424000,102568,5.602,6.787
1718208000,102568,4.676,5.547
1718218800,102568,4.284,5.091
1718175600,102568,11.309,12.764
1718204400,102568,5.472,6.571
1718884800,102568,30.663,33.627
1718881200,102568,36.95,39.987
1718859600,102568,21.52,23.354
1718895600,102568,29.91,32.465
1718877600,102568,24.632,27.292
1718542800,102568,6.319,7.303
1718560800,102568,12.444,14.238
1718496000,102568,1.011,1.283
1719090000,102568,27.077,29.309
1719079200,102568,33.012,36.073
1717912800,102568,5.723,7.373
1718694000,102568,20.405,22.353
1718722800,102568,25.612,27.71
1718726400,102568,23.696,25.83
1718632800,102568,30.529,33.301
1718650800,102568,26.582,29.499
1718629200,102568,31.481,34.061
1718604000,102568,24.619,27.275
1718319600,102568,5.593,6.738
1718244000,102568,9.355,10.729
1718312400,102568,4.809,5.504
1718258400,102568,12.23,13.497
1718316000,102568,5.22,5.938
1718290800,102568,7.309,8.53
1718247600,102568,9.227,10.616
1718010000,102568,5.704,7.059
1718024400,102568,4.5,5.729
1718056800,102568,2.061,2.837
1717977600,102568,1.035,1.49
1719136800,102568,22.581,25.106
1717750800,102568,0.867,1.415
1717783200,102568,1.001,1.451
1718996400,102568,31.476,34.367
1718985600,102568,29.998,33.011
1718964000,102568,42.23,46.209
1719010800,102568,32.198,33.884
1718931600,102568,33.693,36.184
1719151200,102568,21.866,24.244
1718805600,102568,31.138,33.519
1717826400,102568,10.029,11.809
1718398800,102568,17.934,20.521
1718384400,102568,19.779,23.051
1718341200,102568,7.835,9.023
1717650000,102568,15.142,17.373
1717696800,102568,2.564,3.159
1717657200,102568,15.511,17.469
1718071200,102568,1.845,2.256
1718078400,102568,2.019,2.601
1718092800,102568,5.208,6.112
1718416800,102568,8.705,10.48
1718445600,102568,4.682,5.599
1718420400,102568,7.002,8.306
1718481600,102568,1.16,1.745
1718449200,102568,4.05,4.837
1718478000,102568,0.949,1.289
1718186400,102568,12.185,13.731
1718157600,102568,9.279,10.813
1718179200,102568,11.786,13.511
1718197200,102568,7.838,9.097
1718917200,102568,31.165,32.995
1718841600,102568,24.056,25.891
1718906400,102568,30.669,33.082
1718920800,102568,30.319,32.144
1719064800,102568,42.844,46.302
1719072000,102568,39.079,42.59
1719014400,102568,31.152,33.292
1719046800,102568,42.528,46.663
1717916400,102568,7.013,8.68
1717891200,102568,2.469,3.247
1717898400,102568,4.224,5.351
1717930800,102568,6.191,7.655
1718683200,102568,24.057,26.756
1718719200,102568,25.447,27.423
1718690400,102568,21.882,23.876
1718672400,102568,20.319,22.167
1718661600,102568,23.837,25.813
1718265600,102568,11.683,13.328
1718236800,102568,4.551,5.278
1718240400,102568,5.411,6.191
1717984800,102568,3.178,4.045
1719176400,102568,19.256,21.388
1719154800,102568,15.877,17.989
1719198000,102568,1.462,1.801
1717732800,102568,0.976,1.535
1717754400,102568,1.07,1.546
1717761600,102568,0.888,1.259
1717768800,102568,0.191,0.263
1717790400,102568,1.448,1.963
1718992800,102568,30.068,33.132
1718928000,102568,33.064,35.062
1718946000,102568,38.77,42.136
1718809200,102568,32.964,36.074
1718773200,102568,26.569,29.633
1718816400,102568,36.325,38.246
1717833600,102568,7.757,9.398
1717819200,102568,10.277,11.846
1717887600,102568,2.087,2.675
1717851600,102568,10.072,11.912
1717880400,102568,3.716,4.74
1718388000,102568,19.833,23.653
1718370000,102568,15.101,17.693
1717700400,102568,1.172,1.849
1717675200,102568,11.174,12.882
1717707600,102568,0.954,1.298
1717660800,102568,13.787,15.767
1717671600,102568,15.13,33.072
1718085600,102568,3.886,4.821
1718438400,102568,4.999,6.079
1718154000,102568,10.338,11.926
1718226000,102568,4.229,5.068
1718200800,102568,6.008,7.018
1718888400,102568,27.109,29.277
1718913600,102568,32.978,35.236
1718506800,102568,7.851,8.724
1718528400,102568,6.446,7.171
1718535600,102568,7.222,8.509
1718568000,102568,16.378,18.686
1718571600,102568,16.959,19.346
1719075600,102568,34.63,37.469
1719032400,102568,35.454,38.698
1719018000,102568,31.46,33.785
1719050400,102568,42.383,46.71
1717945200,102568,3.338,4.182
1717938000,102568,2.014,2.65
1717920000,102568,7.989,9.941
1718737200,102568,17.662,19.647
1718708400,102568,19.468,21.383
1718686800,102568,23.368,25.43
1718748000,102568,17.236,18.835
1718668800,102568,20.902,23.144
1718751600,102568,19.679,21.386
1718665200,102568,22.703,25.369
1718625600,102568,30.953,33.931
1718272800,102568,13.123,14.944
1718283600,102568,9.121,10.607
1718060400,102568,2.141,2.75
1718046000,102568,2.139,2.61
1718028000,102568,4.734,6.182
1719201600,102568,2.285,2.752
1719172800,102568,19.868,23.043
1719180000,102568,11.219,12.604
1719100800,102568,25.408,27.189
1717758000,102568,0.954,1.403
