time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719172800,102632,20.288,19.086
1719111600,102632,27.855,26.108
1719140400,102632,22.788,21.532
1717736400,102632,1.762,1.276
1717754400,102632,2.285,1.706
1718337600,102632,8.972,8.376
1718402400,102632,14.591,13.652
1718377200,102632,14.678,13.791
1718348400,102632,11.411,10.029
1718344800,102632,11.095,9.823
1718388000,102632,18.823,17.85
1718323200,102632,6.282,5.409
1718506800,102632,7.585,6.362
1718560800,102632,13.409,12.368
1718546400,102632,5.762,4.763
1718020800,102632,4.489,3.923
1717988400,102632,3.837,3.357
1718035200,102632,2.825,2.377
1718010000,102632,7.767,7.153
1718060400,102632,2.568,2.24
1718463600,102632,0.351,0.076
1718492400,102632,1.939,1.546
1718434800,102632,6.614,5.957
1718409600,102632,7.404,6.469
1719021600,102632,36.303,34.752
1719072000,102632,37.215,35.718
1719090000,102632,27.755,26.389
1719061200,102632,41.716,39.663
1719079200,102632,31.715,30.492
1719039600,102632,44.06,42.95
1719043200,102632,45.315,44.087
1718719200,102632,24.84,23.444
1718686800,102632,25.364,24.117
1718733600,102632,18.273,16.659
1718892000,102632,27.359,25.242
1718845200,102632,24.654,23.47
1718906400,102632,31.375,29.581
1718838000,102632,30.874,29.094
1718834400,102632,36.255,34.165
1718769600,102632,30.152,28.532
1718978400,102632,31.529,29.728
1718971200,102632,44.457,43.654
1718964000,102632,47.063,45.831
1719000000,102632,32.608,31.789
1718938800,102632,40.553,38.733
1718928000,102632,36.29,33.892
1718146800,102632,7.907,6.917
1718064000,102632,1.913,1.395
1718128800,102632,6.644,5.683
1718280000,102632,17.87,16.253
1718301600,102632,4.83,4.235
1718251200,102632,9.777,8.634
1718161200,102632,10.554,9.336
1718204400,102632,5.165,4.155
1718182800,102632,13.91,12.957
1718193600,102632,11.9,10.805
1718218800,102632,4.726,4.226
1717675200,102632,10.334,9.623
1717671600,102632,16.366,16.218
1717696800,102632,2.675,1.764
1717909200,102632,6.098,5.315
1717920000,102632,8.775,7.951
1717902000,102632,5.267,4.569
1717959600,102632,1.171,0.857
1717898400,102632,4.957,4.112
1717844400,102632,11.639,10.806
1717837200,102632,10.178,9.015
1717887600,102632,3.06,2.486
1717848000,102632,12.201,10.769
1717826400,102632,10.176,8.936
1717855200,102632,9.0,7.986
1717884000,102632,10.238,9.53
1717851600,102632,11.415,10.046
1719118800,102632,29.011,27.775
1719108000,102632,27.496,25.297
1719165600,102632,19.939,19.607
1719122400,102632,27.481,26.061
1719144000,102632,22.177,20.596
1717801200,102632,1.542,0.961
1717747200,102632,1.675,1.155
1718330400,102632,7.34,6.546
1718362800,102632,15.8,14.59
1718326800,102632,6.87,5.936
1718514000,102632,8.47,7.292
1718517600,102632,9.553,8.343
1718542800,102632,6.191,5.054
1718535600,102632,8.117,7.006
1718038800,102632,1.993,1.581
1718049600,102632,2.688,2.125
1718420400,102632,8.877,8.254
1718456400,102632,2.191,1.754
1718427600,102632,6.121,5.339
1718474400,102632,0.423,0.06
1719064800,102632,39.255,37.38
1719018000,102632,33.335,32.221
1719046800,102632,46.51,45.47
1719093600,102632,27.633,26.094
1719097200,102632,26.739,24.835
1719036000,102632,42.822,40.823
1718726400,102632,23.22,22.084
1718751600,102632,23.3,21.965
1718748000,102632,20.479,18.652
1718870400,102632,27.416,26.154
1718888400,102632,25.834,24.79
1718924400,102632,34.551,32.564
1718794800,102632,34.787,32.9
1718755200,102632,23.57,21.924
1718798400,102632,34.954,32.87
1718758800,102632,25.485,23.262
1718791200,102632,33.404,31.705
1718942400,102632,42.331,40.677
1718982000,102632,28.181,26.714
1718953200,102632,45.863,44.467
1718085600,102632,6.476,5.68
1718071200,102632,2.866,2.372
1718136000,102632,8.681,7.582
1718258400,102632,11.697,10.716
1718265600,102632,13.342,12.165
1718247600,102632,10.067,9.07
1718316000,102632,5.23,4.544
1718283600,102632,8.465,7.423
1718269200,102632,12.506,11.771
1718276400,102632,17.331,16.21
1718215200,102632,4.638,3.776
1718233200,102632,4.584,3.805
1717664400,102632,14.776,14.488
1717642800,102632,17.734,17.56
1717668000,102632,17.645,17.593
1717894800,102632,5.093,4.363
1717905600,102632,5.484,4.732
1717891200,102632,3.806,2.99
1717963200,102632,1.607,1.317
1717815600,102632,5.931,5.117
1719129600,102632,26.403,24.877
1718586000,102632,22.612,20.992
1718643600,102632,29.921,28.776
1718611200,102632,28.413,27.27
1718654400,102632,28.507,27.19
1718647200,102632,28.598,26.874
1718600400,102632,25.555,24.288
1718589600,102632,24.188,22.652
1719194400,102632,1.756,1.444
1719147600,102632,23.355,22.378
1719158400,102632,13.518,12.78
1717765200,102632,0.308,0.064
1717786800,102632,1.503,1.132
1718352000,102632,11.184,10.172
1718406000,102632,10.421,9.793
1718391600,102632,18.719,17.669
1718532000,102632,7.659,6.823
1718578800,102632,18.604,17.121
1718503200,102632,6.003,5.128
1718575200,102632,18.432,17.279
1717977600,102632,1.671,1.236
1718442000,102632,5.735,4.893
1718470800,102632,0.149,0.013
1719025200,102632,38.606,37.198
1719032400,102632,42.3,40.581
1719014400,102632,31.911,29.922
1719082800,102632,27.514,26.272
1718722800,102632,24.899,23.18
1718899200,102632,28.934,27.768
1718863200,102632,25.555,24.31
1718877600,102632,28.136,26.986
1718856000,102632,24.228,22.896
1718823600,102632,39.438,37.298
1718802000,102632,31.328,29.678
1718830800,102632,35.386,33.494
1718974800,102632,37.681,35.526
1719007200,102632,32.727,31.084
1718949600,102632,45.131,43.316
1718143200,102632,8.466,7.605
1718118000,102632,9.495,8.391
1718114400,102632,10.426,8.925
1718078400,102632,3.567,3.079
1718236800,102632,4.644,3.796
1718319600,102632,6.264,4.909
1718290800,102632,6.658,6.062
1718272800,102632,13.325,12.426
1718287200,102632,6.406,5.677
1718294400,102632,5.992,5.433
1718240400,102632,5.049,4.245
1718175600,102632,15.335,14.176
1718179200,102632,14.927,13.569
1717657200,102632,16.596,16.123
1717682400,102632,3.825,2.947
1717707600,102632,1.206,0.859
1717660800,102632,14.548,14.187
1717966800,102632,3.364,3.147
1717952400,102632,1.111,0.776
1717956000,102632,1.101,0.835
1717938000,102632,3.985,3.637
1717804800,102632,1.765,1.157
1717862400,102632,3.571,3.063
1717880400,102632,4.745,4.056
1717833600,102632,10.293,9.354
1718622000,102632,31.155,29.732
1718640000,102632,32.682,30.725
1718604000,102632,27.198,26.309
1718661600,102632,24.73,23.153
1719136800,102632,24.716,23.784
1719198000,102632,2.5,1.98
1717722000,102632,1.26,0.801
1717768800,102632,0.21,0.022
1717794000,102632,2.102,1.469
1717750800,102632,1.702,1.143
1718380800,102632,17.524,16.259
1718521200,102632,7.963,6.96
1718539200,102632,7.102,6.014
1718031600,102632,4.09,3.56
1717981200,102632,1.836,1.471
1717984800,102632,2.806,2.223
1717999200,102632,6.877,6.153
1718416800,102632,10.613,9.672
1718449200,102632,6.0,5.073
1718478000,102632,1.429,0.54
1718488800,102632,1.45,1.03
1718413200,102632,8.014,7.159
1719057600,102632,42.102,40.091
1719028800,102632,40.453,39.41
1718737200,102632,18.992,17.075
1718744400,102632,19.583,17.829
1718672400,102632,23.02,21.096
1718690400,102632,23.579,22.22
1718895600,102632,29.468,27.969
1718910000,102632,32.176,30.632
1718784000,102632,32.779,31.053
1718960400,102632,47.246,45.9
1718110800,102632,14.227,12.157
1718305200,102632,4.458,3.928
1718164800,102632,12.221,11.157
1718154000,102632,7.466,6.387
1718226000,102632,4.968,4.268
1717678800,102632,6.572,5.567
1717693200,102632,2.782,2.034
1717650000,102632,16.502,15.712
1717686000,102632,1.663,1.284
1717912800,102632,6.835,5.902
1717945200,102632,3.316,2.746
1717974000,102632,1.555,1.028
1717876800,102632,4.003,3.338
1717819200,102632,8.158,7.157
1717873200,102632,4.444,3.683
1719104400,102632,28.681,26.908
1718618400,102632,30.735,29.384
1719162000,102632,16.504,15.256
1719133200,102632,25.505,24.2
1719187200,102632,1.032,0.669
1719115200,102632,28.429,27.397
1717790400,102632,2.021,1.555
1717783200,102632,1.299,0.874
1718355600,102632,12.545,11.764
1718395200,102632,18.797,18.082
1718370000,102632,15.904,14.604
1718528400,102632,7.971,6.998
1718510400,102632,9.649,8.21
1718568000,102632,18.263,16.782
1718564400,102632,17.719,16.502
1718006400,102632,7.551,7.162
1718046000,102632,2.423,2.011
1717995600,102632,6.008,5.223
1718013600,102632,7.813,7.254
1718053200,102632,2.468,2.039
1718424000,102632,7.553,6.657
1718438400,102632,5.905,5.174
1719068400,102632,37.634,35.769
1718697600,102632,21.984,20.377
1718730000,102632,21.975,20.402
1718668800,102632,22.72,21.52
1718715600,102632,23.786,22.207
1718704800,102632,22.217,20.781
1718874000,102632,27.941,27.076
1718884800,102632,33.803,32.315
1718902800,102632,29.619,28.218
1719126000,102632,26.411,24.993
1718820000,102632,42.119,39.84
1718762400,102632,29.913,27.506
1718816400,102632,38.896,36.673
1718780400,102632,33.123,31.582
1719010800,102632,31.669,29.797
1718946000,102632,43.059,41.414
1718089200,102632,7.2,6.28
1718092800,102632,6.634,5.909
1718107200,102632,11.072,9.666
1718298000,102632,5.266,4.742
1718186400,102632,14.317,13.29
1718200800,102632,5.803,4.691
